a_cov_blpr,a_cov_hdi,a_cov_dlasso,a_cov_silm,a_cov_rr,sc_a_cov_rr,a_len_blpr,a_len_hdi,a_len_dlasso,a_len_silm,a_len_rr,sc_a_len_rr,n_cov_blpr,n_cov_hdi,n_cov_dlasso,n_cov_silm,n_cov_rr,sc_n_cov_rr,n_len_blpr,n_len_hdi,n_len_dlasso,n_len_silm,n_len_rr,sc_n_len_rr,s,x,b,e,g,n_draws,n_solve
0.866666667,0.906666667,0.78,0.946666667,0.913333333,0.933333333,1.011219525,0.862867876,0.724856478,1.00057454,1.017277147,1.06286393,0.941333333,0.949333333,0.990666667,0.957333333,0.954666667,0.961333333,0.149094516,0.800852,0.730706335,0.992036568,0.999579477,1.044485823,3,TG,D1,HG,sign,1000,500
0.533333333,0.92,0.713333333,0.913333333,0.873333333,0.886666667,1.147704325,1.591085564,1.197062492,1.747751547,1.801398295,1.872467532,0.925333333,0.950666667,0.994666667,0.958666667,0.944,0.953333333,0.259322797,1.57498751,1.211356749,1.732197167,1.77913827,1.849222026,3,TG,D1,HMG,perm,1000,500
0.533333333,0.913333333,0.713333333,0.926666667,0.893333333,0.906666667,1.140188595,1.610801234,1.197062492,1.748060039,1.813537583,1.885119198,0.930666667,0.944,0.994666667,0.952,0.94,0.950666667,0.262043883,1.567336781,1.211356749,1.733396915,1.777539429,1.847672109,3,TG,D1,HMG,sign,1000,500
0.94,0.926666667,0.773333333,0.946666667,0.893333333,0.913333333,0.752339084,0.644749231,0.517340548,0.714899861,0.727794081,0.760112938,0.94,0.952,0.988,0.962666667,0.957333333,0.966666667,0.10281526,0.562395948,0.521678649,0.705333456,0.714055345,0.745882664,3,TG,D1,N1,perm,1000,500
0.92,0.926666667,0.773333333,0.946666667,0.9,0.92,0.756245946,0.625917013,0.517340548,0.710409015,0.724736724,0.756932753,0.937333333,0.942666667,0.988,0.958666667,0.950666667,0.958666667,0.099767846,0.542146697,0.521678649,0.70428327,0.713428973,0.745237444,3,TG,D1,N1,sign,1000,500
0.566666667,0.946666667,0.76,0.913333333,0.886666667,0.893333333,1.144252311,1.449200158,1.126465325,1.602496689,1.649463417,1.717145706,0.928,0.949333333,0.996,0.956,0.938666667,0.946666667,0.23892016,1.423447111,1.138046996,1.587964544,1.62747814,1.694139971,3,TG,D1,N2,perm,1000,500
0.593333333,0.906666667,0.76,0.926666667,0.88,0.893333333,1.163621819,1.454651884,1.126465325,1.602754979,1.665355379,1.733774948,0.926666667,0.948,0.996,0.950666667,0.941333333,0.946666667,0.238934714,1.406803139,1.138046996,1.589069278,1.631405847,1.698253538,3,TG,D1,N2,sign,1000,500
0.906666667,0.926666667,0.9,0.906666667,0.906666667,0.913333333,0.717759222,0.617822415,0.756163975,0.979805159,0.699767375,0.729251556,0.953333333,0.965333333,0.997333333,0.937333333,0.96,0.962666667,0.10309812,0.552157549,0.758150804,0.963789638,0.686217059,0.7151844,3,TGM,D1,G1,perm,1000,500
0.92,0.9,0.766666667,0.94,0.893333333,0.926666667,0.970437427,0.865226316,0.741401252,0.968834455,0.979797242,1.025680633,0.930666667,0.961333333,0.988,0.956,0.950666667,0.966666667,0.150513132,0.80734933,0.739738755,0.9532535,0.96298441,1.008140523,3,TGM,D1,HG,perm,1000,500
0.906666667,0.92,0.766666667,0.94,0.9,0.906666667,0.953192358,0.941030695,0.741401252,0.969104933,0.996771973,1.043456958,0.926666667,0.962666667,0.988,0.957333333,0.954666667,0.962666667,0.151803622,0.807437978,0.739738755,0.952608232,0.949094153,0.993623291,3,TGM,D1,HG,sign,1000,500
